content,score,at,content_bersih
aplikasi mantap,5,2025-08-26 12:03:49,aplikasi mantap
"Setelah di update malah sering error & nge-bug, overall ini aplikasi bobrok ga jelas",1,2025-08-26 06:40:16,di update malah sering error ngebug overall aplikasi bobrok ga jelas
sering error sinyal nya KL beli promo....tp KL beli hrg biasa lsng lancar,1,2025-08-25 00:15:23,sering error sinyal nya kl beli promotp kl beli hrg biasa lsng lancar
"semoga nanti ada jadwal kedatangan bisnya, sama tanda jalan bis di aplikasinya benar² akurat, karena sekarang masih seperti ngelag², jadi takut ketinggalan bisnya, karena tanda bisnya kurang akurat, dan juga semoga bisnya diperbanyak, dan jam operasionalnya bertambah hingga jam 22.00",3,2025-08-24 18:36:24,moga ada jadwal datang bis sama tanda jalan bis aplikasi benar akurat sekarang seperti ngelag jadi takut tinggal bis tanda bis kurang akurat juga moga bis banyak jam operasional tambah hingga jam
"Tolong tambahkan fitur ""lupa password"". saldo saya tidak bisa dipakai karena saya lupa password akun saya",1,2025-08-24 12:05:32,tambah fitur lupa password saldo tidak pakai lupa password akun saya
reset password ora diproses,3,2025-08-22 21:59:11,reset password ora proses
Sangat membantu masyarakat,5,2025-08-22 19:57:56,sangat bantu masyarakat
"update mulu ahh, udh gtu kualitasnya sm aja, ga makin bagus",3,2025-08-21 21:49:09,update mulu ahh udh gtu kualitas sm aja ga makin bagus
gk bisa top up back🤌,1,2025-08-21 18:46:07,gk top up back
bagus,5,2025-08-21 18:03:43,bagus
"Aplikasi kurang akurat, kadang lemot, kadang gps nya ga jalan, keseringan minta perbarui. ngeselin, kurang worth it 😡",1,2025-08-21 16:29:24,aplikasi kurang akurat kadang lot kadang gps nya ga jalan sering minta baru ngeselin kurang worth it
Good,5,2025-08-21 05:01:38,good
"TOLONG LAH, SERING GAK SESUAI, JADINYA SAYA SERING KETINGGALAN BUS!! MANA SOPIRNYA BELAGU GAK MAU BERHENTI, BUKA PINTU LANGSUNG AJA TEROBOS, PADAHAL LAGI CEK BUSNYA LEWAT HP",1,2025-08-18 13:57:24,lah sering gak sesuai jadi sering tinggal bus mana sopir belagu gak mau henti buka pintu langsung aja terobos padahal cek bus lewat hp
"saran untuk rute madura bisa di perluas sampai timur, dan yang bangkalan sampai pelabuhan kamal",4,2025-08-18 08:01:22,saran rute madura di luas timur yang bangkal labuh kamal
sudah daftar oake 3 email lgsg tp gak muncul otp nya terus .mohon solusinya dong,5,2025-08-17 14:28:34,daftar oake email lgsg tp gak muncul otp nya terus mohon solusi dong
"kenapa di aplikasi monitor lokasi kendaraan tidak ada kode terintegrasi dgn rute lain seperti aplikasi mitra darat, sehingga tdk membingungkan penumpang kapan harus turun di halte terintegrasi utk pindah rute, jangan sampai penumpang dibingungkan dengan aplikasi kadang buka mitra darat tetapi juga harus buka gobis, dimana dana atau saldo yg sudah deposit tidak bisa ditarik kembali, penumpang skrg sdh mulai masukkan ke dompet gobis, tolong jangan nyusahin rakyat, ini sdh ketergantungan dgn gobis",1,2025-08-17 05:42:45,aplikasi monitor lokasi kendara ada kode integrasi dgn rute seperti aplikasi mitra darat tdk bingung tumpang kapan turun di halte integrasi utk pindah rute jangan tumpang bingung aplikasi kadang buka mitra darat juga buka gob dana saldo yg deposit bisa tarik tumpang skrg sdh mulai masuk dompet gob jangan nyusahin rakyat sdh gantung dgn gob
apk tidak bisa diunduh dan di pakai,1,2025-08-13 09:57:14,apk bisa unduh di pakai
mobilnya bersih,5,2025-08-11 08:38:58,mobil bersih
Aplikasi ini minta update terus.,1,2025-08-09 17:13:06,aplikasi minta update terus
top,5,2025-08-09 16:58:29,top
"untuk ww arah Lakarsantri tolong ditambah kan unit lagi, agar di tij tidak kosong terus",1,2025-08-07 17:45:49,ww arah lakarsantri tambah kan unit agar tij kosong terus
Lokasi posisi orang di GPS nya tidak akurat. dan tulisanya tidak terlalu besat serta. Lebih baik pakai aplikasi Mitra Darat tp sudah tidak menangani,1,2025-08-07 10:05:06,lokasi posisi orang gps nya akurat tulisanya terlalu besat lebih baik pakai aplikasi mitra darat tp tidak tangan
KODE OTP GAMAU MASUK TUH KENAPAAAA 😭😭😭😭😭 AKU UDAH NUNGGUIN LAMA BANGET TAPI GAADA HASIL MAKSUTNYA APA SIH BIKIN APLIKASI GAJELAS GINI ??????,1,2025-08-02 18:59:18,kode otp gamau masuk tuh kenapaaaa aku udah nungguin lama banget gaada hasil maksutnya apa sih bikin aplikasi gajelas gin
pas top up saldonya ga keisi tapi uang kesedot anjay bet,1,2025-08-02 18:01:07,pas top up saldo ga isi uang sedot anjay bet
"sebelum di surabaya bisa login, giliran udah di surabaya mendadak gabisa login mana udah di atas bus",2,2025-08-01 23:23:54,surabaya login gilir udah surabaya dadak gabisa login mana udah di atas bus
App habis diperbarui makin buruk! Saldo tiba2 ilang. di top up lagi trs cek di notif udah masuk. pas cek di saldo masih 0. tolonglah dimaksimalkan. jujur merasa dirugikan bgt,1,2025-08-01 13:27:42,app habis baru makin buruk saldo tiba ilang top up trs cek notif udah masuk pas cek saldo tolong maksimal jujur rasa rugi bgt
sudah top up saldo tapi saldo masih 0.aplikasi sampah,1,2025-08-01 07:46:46,top up saldo saldo aplikasi sampah
"Bukan perihal aplikasi, namun jarak bus terlalu jauh dan tidak sama rata. Waktu tunggu jadi lebih lama",1,2025-07-31 20:13:06,bukan perihal aplikasi jarak bus terlalu jauh tidak sama rata waktu tunggu jadi lebih lama
mantab,5,2025-07-31 14:30:34,mantab
"angkutan rakyat yg btl2 sangat2 nyaman berkualitas dr segi keamanan, kenyamanan, keramahan petugas jg kebersihan, trs tingkat kan semua ini u mencapai predikat angkutan terbaik di seluruh NKRI. BRAVO WIRA WIRI SUROBOYO",5,2025-07-31 07:20:08,angkut rakyat yg btl sangat nyaman kualitas dr segi aman nyaman ramah tugas jg bersih trs tingkat kan semua u capai predikat angkut baik seluruh nkri bravo wira wiri suroboyo
good,5,2025-07-31 05:25:30,good
armada feedernya diperbanyak lagi...,1,2025-07-30 11:28:06,armada feedernya banyak
Aplikasinya kurang bagus dan minim informasi. Tolong UI-nya dibuat kayak aplikasi Gojek pasti menarik,1,2025-07-29 14:09:14,aplikasi kurang bagus minim informasi uinya buat kayak aplikasi gojek tarik
baik memuaskan,5,2025-07-29 13:07:45,baik muas
"gabisa daftar akun bejirlah, padahal internet udah kenceng tp tulisan yang muncul ""koneksi terputus"" terusss hm",1,2025-07-29 04:56:25,gabisa daftar akun bejirlah padahal internet udah kenceng tp tulis muncul koneksi putus terusss hm
"Karena haus, saya pun minum air mineral botol kecil yang saya bawa, betapa kagetnya ditegur sama mbak admin wira-wiri ""pak ndak boleh minum, ada kameranya"", saya pun kaget dan spontan ""oh iya mbak maaf"". Sambil mikir....""Baru kali ini naik angkutan ndak boleh minum air mineral""",1,2025-07-27 21:45:05,haus pun minum air mineral botol kecil bawa betapa kaget tegur sama mbak admin wirawiri pak ndak minum kamera saya pun kaget spontan iya mbak maaf mikirbaru kali naik angkut ndak minum air mineral
agak lama juga masuknya klau kita topup,5,2025-07-25 16:11:19,lama masuk klau topup
"sukaaaaa, bisa pantau mau kemana, cuman kesulitan kalo mau ke suatu destinasi harus di runtut dlu, dicari sambungannya, mgkn bisa ditambah fitur arah nya misal dari kanwa ke pasar atom naik apa aja naik turun dimana",5,2025-07-24 19:41:50,sukaaaaa pantau mau cuman sulit kalo mau suatu destinasi di runtut dlu cari sambung mgkn tambah fitur arah nya misal kanwa pasar atom naik apa aja naik turun
"aplikasi busuk, top up sering delay hingga 10-15 menit mana kondektur busnya juga ga sadar diri kalo aplikasinya bobrok ngomel gegara gabisa bayar. sering log out juga tiba tiba dan ngebug di waktu yang tak terduga.",1,2025-07-23 12:36:47,aplikasi busuk top up sering delay hingga menit mana kondektur bus ga sadar diri kalo aplikasi bobrok ngomel gegara gabisa bayar sering log out tiba tiba ngebug waktu tak duga
sarana transportasi murah meriah merakyat tp tdk murahan dengn model dan fasilitas kendaraan nya.....Trimakasih sdh mengantar kami dan keluarga.,5,2025-07-23 06:55:59,sarana transportasi murah riah rakyat tp tdk murah dengn model fasilitas kendara nyatrimakasih sdh antar dan keluarga
Error often. One day forced to pay as a normal passenger eventhough a student which is twice the price because the money transfer was delayed.,1,2025-07-21 17:53:15,error often one day forced to pay as a normal passenger eventhough a student which is twice the price because the money transfer was delayed
Sering tiba2 eror gak muncul rutenya. Tolong lebih update untuk lokasi haltenya kadang halte disebutkan tapi tidak dikasih petunjuk.,1,2025-07-17 08:19:34,sering tiba eror gak muncul rute lebih update lokasi halte kadang halte sebut tidak kasih tunjuk
"petugasnya ramah2, armadanya bersih dan nyaman",5,2025-07-16 14:22:19,tugas ramah armada bersih nyaman
"aplikasi sampah, dikit dikit minta perbaharui",1,2025-07-16 06:34:00,aplikasi sampah dikit dikit minta baharu
mbaknya yg jaga bus judessssss,3,2025-07-13 11:45:26,mbak yg jaga bus judessssss
lama lama kok lambat dan lemot semua ya minta tolong DISUB,1,2025-07-13 10:21:39,lama lama kok lambat lot semua minta sub
"Juanc*****k, untuk Wira Wiri dengan kode ""WW 96"" udah di awe² jauh² dari pemberhentian gamau berhenti tolong dipecat sopirnya juancokkkkkk. Saya memberhentikan pukul 7 an malam. padahal operasionalnya sampe jam 9 malam.",1,2025-07-11 19:34:32,juanck wira wiri kode ww udah awe jauh henti gamau henti pecat sopir juancokkkkkk henti pukul an malam padahal operasional sampe jam malam
bisnya makin hari makin dikit udh nunggu 50 menit gak datang,1,2025-07-11 16:42:40,bis makin hari makin dikit udh nunggu menit gak datang
"WW06 hari selasa tgl 7 Juli 2025,diberhentiin di halte wonorejo tetapi tidak berhenti padahal ada plakat gambar Bus dan itu adalah halte pemberhentian",1,2025-07-08 19:58:49,ww hari selasa tgl juli diberhentiin halte wonorejo tidak henti padahal plakat gambar bus itu halte henti
sudah cepat untuk gobis,5,2025-07-08 04:53:26,cepat gob
lemot banget aplikasiny🤦🏻‍♀️,2,2025-07-07 19:16:10,lot banget aplikasiny
lemot,2,2025-07-07 13:12:37,lot
"sangat tidak direkomendasikan entah kenapa rasanya gampang pusing naik surabaya bus, kayak karna cara nyetir supirnya yang ngawur, pelayanan supir dan petugasnya gak ramah banget, jawab jutek, malah banyak penumpang yang di marahin, kalo gak bisa ramah gak usah kerja di pelayanan umum👎👎👎👎",1,2025-07-06 01:58:04,sangat rekomendasi entah rasa gampang pusing naik surabaya bus kayak karna cara nyetir supirnya ngawur layan supir tugas gak ramah banget jawab jutek malah banyak tumpang marahin kalo gak ramah gak usah kerja di layan umum
sangat bgs pelayannya,5,2025-07-02 20:12:28,sangat bgs layan
Membantu saya dalam bekerja sebagai sebagai informasi transportasi publik,5,2025-07-02 14:45:24,bantu dalam kerja bagai informasi transportasi publik
tolong ditambahkan jam operasional bus Suroboyo terimakasih,5,2025-07-02 14:01:32,tambah jam operasional bus suroboyo terimakasih
susah untuk masuk jadi member padahal ada internet,2,2025-07-02 11:33:07,susah masuk jadi member padahal internet
bagus mempermudah perjalanan,5,2025-07-01 23:10:44,bagus mudah jalan
reward poin untuk apa kalau nggak bisa ditukar? tombol untuk tukarnya pun sekarang dihilangkan,1,2025-07-01 09:39:42,reward poin apa kalau bisa tukar tombol tukar sekarang hilang
q pertama kali naik bis surabaya rasa nya nyaman.,5,2025-07-01 08:15:53,q pertama kali naik bis surabaya rasa nya nyaman
gak mau berhenti di halte padahal belum penuh yg berdiri baru beberapa,2,2025-06-30 16:25:22,gak mau henti halte padahal penuh yg diri baru beberapa
"lupa pasword utk bayar pakai gobis, mau diganti pun gak bisa, harus pakai pasword lama. lah gimana mau d ganti kl pasword lama aja lupa. tlg d perbaiki aplikasinya 🙏",3,2025-06-30 09:04:32,lupa pasword utk bayar pakai gob mau ganti gak harus pakai pasword lama lah gimana mau d ganti kl pasword lama aja lupa tlg d baik aplikasi
"sudah Bagus dengan aplikasi dan kemarin sebelumnya juga bisa pembayaran melalui Qris, sekarang harus top up, sebenarnya lebih ribet lagi, walaupun sudah bagus untuk mengembangkan aplikasi, tp tolong pembayaran /Top up juga bisa melalui indo**rt, alp**rt, dll agara lebih mudah, karena tidak semua punya rekening / Qris, dan kembali lagi permasalahan nya tetap di pembayaran. terima kasih. saran saja",5,2025-06-28 20:22:26,bagus aplikasi kemarin belum bisa bayar lalu qris sekarang top up benar lebih ribet walaupun bagus kembang aplikasi tp bayar top up bisa lalu indort alprt agara lebih mudah tidak semua punya rekening qris kembali masalah nya tetap bayar terima kasih saran
lebih nyaman aman dan efisien,5,2025-06-28 18:36:08,lebih nyaman aman efisien
"Minta Tolong Banget Di Evaluasi Supir nya🙏🙏 klok mau tutup pintu perhatikan dulu baik baik orang yang mau turun atau naik itu.. jangan terburu-buru, keselamatan lebih penting!! saya sering lihat nenek yang kadang agak kesusahan mau naik atau turun dan nenek nya salah pegangan yang justru itu sangat berbahaya... mohon di perhatikan lagi, jangan tunggu ada korban dulu..",3,2025-06-28 11:17:07,minta banget evaluasi supir nya klok mau tutup pintu perhati dulu baik baik orang mau turun naik jangan terburuburu selamat lebih penting sering lihat nenek kadang susah mau naik turun nenek nya salah pegang justru sangat bahaya mohon perhati jangan tunggu korban dulu
"kebanyakan update trs applikasi ini,,gk smpe sebulan update terus",2,2025-06-26 23:43:17,banyak update trs applikasi inigk smpe bulan update terus
lamban woi saya isi saldo ga masuk masuk,1,2025-06-22 18:32:07,lamban woi isi saldo ga masuk masuk
Udah Top Up saldo.. eehh malah ga berguna. mau payment lewat apk ini malah gagal terus jadinya Saldonya masih tertahan di apk sini.. respon juga lambat mohon diperbaiki.. kalau misalkan gakbisa payment di bus semanggi usahakan uang bisa dipake buat apa aja jadinya ga nahan disini !!!! kecewa sama apknya malah gak guna sama sekali,1,2025-06-22 16:52:26,udah top up saldo eehh malah ga guna mau payment lewat apk malah gagal terus jadi saldo tahan apk sini respon lambat mohon baik kalau misal gakbisa payment bus semanggi usaha uang dipake buat apa aja jadi ga nahan sini kecewa sama apknya malah gak sama sekali
aplikasi sering error,1,2025-06-21 18:01:29,aplikasi sering error
sangat memuaskan,5,2025-06-21 10:41:03,sangat muas
"lokasi saya saat ini dan lokasi halte di map tidak akurat, selisihnya bisa 1 km",2,2025-06-21 09:08:26,lokasi saat dan lokasi halte map akurat selisih km
"kalo bisa, jangan keseringan update. setidaknya perbaiki lokasi dan arah bus... bahkan apa mksudnya buat keseringan update kalo semisal g ada perubahan, tolong sebisa mungkin admin lebih diperhatikan lagi buat apk ini... mohon dibaca ya min🙏",1,2025-06-19 12:30:55,kalo jangan sering update baik lokasi arah bus bahkan apa mksudnya buat sering update kalo misal g ubah bisa mungkin admin lebih perhati buat apk mohon baca min
baik👍,4,2025-06-19 11:23:53,baik
"ini rute arah pemberangkatan aja, rute balik kok engga ditampilkan juga halte2 pemberhentiannya?",3,2025-06-16 11:41:31,rute arah berangkat aja rute balik kok engga tampil halte henti
"dulu pernah daftar, tpi lupa password terus pilih ke fitur ""lupa password"" diminta email, padahal dulu belum di sambungkan email",2,2025-06-14 18:51:22,dulu pernah daftar tpi lupa password terus pilih fitur lupa password minta email padahal dulu di sambung email
udah top up tpi saldo blm jg muncul sih. ini aplikasi ga jelas bnget,1,2025-06-10 15:19:19,udah top up tpi saldo blm jg muncul sih aplikasi ga jelas bnget
gimana nih katanya username nya terserah mau berapa karakter tapi 10 karakter bisa bikin akun tapi nggak bisa masuk login habis itu data juga nggak bisa di hapus gimana nih caranya tolong developer dijawab saya☺️,1,2025-06-08 17:34:33,gimana nih kata username nya serah mau berapa karakter karakter bikin akun nggak masuk login habis data nggak di hapus gimana nih cara developer jawab saya
"SB 23, naik 7 Jun 25 jam 19.04 WIB. Saran aja, bisnya sering-sering dibersihkan. Banyak kecoa kecil-kecil di area tempat duduk ban belakang.",1,2025-06-07 19:48:56,sb naik jun jam wib saran aja bis seringsering bersih banyak kecoa kecilkecil area tempat duduk ban belakang
"aplikasi nya bagus dan sangat berguna untuk pelanggan gobis, namun masih sering sekali terkendala koneksi putus, dan juga sering tidak bisa login.",2,2025-06-03 07:09:45,aplikasi nya bagus sangat guna langgan gob masih sering sekali kendala koneksi putus juga sering bisa login
"4 me yg rada buta maps dan ""ga bisa baca rute"" mungkin bingung bgt dimana aja pemberhentian nya & dsb, coba dong tolong di upgrade fitur kaya Ai biar aku sebagai penumpang juga bisa menanyakan secara langsung dimana aja pemberhentian nya, beroperasi selesai jam brpa dan masi banyak lgi. karna emang minim informasi bgt jadi tolong untuk di upgrade biar penumpang jga ga bingung",2,2025-05-28 19:43:34,me yg rada buta maps ga baca rute mungkin bingung bgt aja henti nya coba dong upgrade fitur kaya ai biar aku tumpang bisa tanya langsung aja henti nya operasi selesai jam brpa mas banyak lgi karna emang minim informasi bgt jadi untuk di upgrade biar tumpang jga ga bingung
Sangat membantu masyarakat,5,2025-05-28 08:19:33,sangat bantu masyarakat
g sesuai jadwal semua. molor jam nya. saran aja klau bisa ganti personel busnya . biar bisa sinkron ama jadwal yg di sistem. seringgg telattttt jamnya molor,1,2025-05-26 08:31:15,g sesuai jadwal semua molor jam nya saran aja klau ganti personel bus biar sinkron ama jadwal yg sistem seringgg telattttt jam molor
tolong adakan fitur ganti foto profil,1,2025-05-25 13:09:13,adakan fitur ganti foto profil
"gak ada jadwal keberangkatan atau kedatangan,,,kami pakai tranportasi umum juga butuh ketepatan waktu, kami butuh tranportasi umum yang gak terhalang macet,",1,2025-05-24 17:57:37,gak jadwal berangkat kedatangankami pakai tranportasi umum butuh tepat waktu butuh tranportasi umum gak halang macet
ini knapa ya kok tiba2 jadi gabisa login setelah diupdate,1,2025-05-22 20:21:37,knapa kok tiba jadi gabisa login diupdate
"login susah, padahal kuota masih banyak",2,2025-05-21 07:49:56,login susah padahal kuota banyak
"Saran saya jika top up saldo dengan QR segera digunakan. Apabila ditunda, saldonya tidak akan masuk dengan qr tersebut. sudah hubungi CS nya katanya ada delay dari Bank Jatim, mohon menunggu 1x24 jam tetapi ditunggu-tunggu lebih dari itu tidak ada saldo masuk. menghubungi kembali cs nya tetapi tidak ada tanggapan. mohon hal ini diperbaiki. dan diberi informasi berapa lama qr bisa digunakan. jika sudah expired sebaiknya qr tidak bisa di scan(dibuat gagal).",1,2025-05-19 16:13:51,saran top up saldo qr segera guna apabila tunda saldo akan masuk qr sebut hubung cs nya kata delay bank jatim mohon tunggu x jam ditunggutunggu lebih itu saldo masuk hubung cs nya ada tanggap mohon ini baik beri informasi berapa lama qr guna jika sudah expired baik qr tidak bisa scandibuat gagal
"aplikasinya lemot, tolong diperbaiki",1,2025-05-17 07:00:15,aplikasi lot baik
okay,5,2025-05-15 19:01:13,okay
"Dulu udah install ini dan uninstall krn app ini sdh nggak berguna lagi semenjak ada mitra darat. saya kira itu sebuah kemajuan integrasi transportasi indonesia. eh gataunya per Mei Juni disuruh download lagi dan mewajibkan semua penumpang untuk melakukan transaksi tiket disini. Sungguh, sebuah kecanggihan gimmick yang memper ruwet keadaan saja...",1,2025-05-07 07:53:12,dulu udah install dan uninstall krn app sdh guna semenjak mitra darat kira buah maju integrasi transportasi indonesia eh gataunya per mei juni suruh download dan wajib semua tumpang laku transaksi tiket sini sungguh buah canggih gimmick memper ruwet ada
"Aplikasi sebetulnya bagus untuk penggunaan transportasi umum dlm mengurangi pemakaian kendaraan pribadi, Akan tetapi tampilannya perlu diperbaiki. Karena sangat memusingkan terutama di peta integrasi antar moda transportasi. Apalagi untuk pengguna dari luar kota seperti saya dari jakarta yang belum begitu paham jalanan di surabaya. Harus melihat peta yang tampilannya sangat memusingkan numpuk2. Tolong diperbaiki agar semakin lebih baik lagi tampilannya. Semoga kedepan halte juga jadi satu.",3,2025-05-01 19:20:57,aplikasi bagus guna transportasi umum dlm kurang pakai kendara pribadi tetapi tampil perlu baik sangat pusing utama peta integrasi antar moda transportasi untuk guna luar kota saya jakarta belum paham jalan surabaya lihat peta tampil sangat pusing numpuk baik makin lebih baik tampil moga depan halte jadi satu
sangat membantu untuk mencari feeder sesuai tujuan,5,2025-04-30 06:32:13,sangat bantu cari feeder sesuai tuju
mantap dan bersama gobis dan wira wiri,5,2025-04-29 19:07:19,mantap sama gob wira wiri
"naik city elektric ketempat kerja lebih irit biayanya, tentunya sabar menanti bisnya...",5,2025-04-29 15:23:13,naik city elektric tempat kerja lebih irit biaya tentu sabar nanti bis
KOK MAKIN LEMOT SIH?? MAU CEK MAPS BUSNYA LAMA BANGET BARU BISA KEBUKA,1,2025-04-29 12:21:19,kok makin lot sih mau cek maps bus lama banget baru buka
helper sopan-sopan mau jelasin pertanyaan penumpang...,5,2025-04-29 09:31:32,helper sopansopan mau jelasin tanya tumpang
proses daftarnya lamaaa bgttt :(,1,2025-04-28 18:42:41,proses daftar lamaaa bgttt
"nyaman, aman , terjangkau",5,2025-04-28 14:23:35,nyaman aman jangkau
"Dengan adanya aplikasi ini sangat menguntungkan bagi kita pengguna transfort dgn bus, bnyk arah tujuan yg kita inginkan mau kemana, keliling kota Sby mengasyikkan dan murah meriah.",5,2025-04-28 13:45:06,ada aplikasi sangat untung guna transfort dgn bus bnyk arah tuju yg kita ingin mau keliling kota sby asyik murah riah
"Mohon untuk pengisian/top up saldo diperbaiki, karena terkadang saldo lama baru masuk, bisa sampai 1 hari bahkan ada saldo saya yang belum masuk hingga saat ini, padahal sudah top up 3-4 hari sebelumnya",1,2025-04-28 13:03:46,mohon pengisiantop up saldo baik terkadang saldo lama baru masuk sampai hari bahkan saldo yang masuk hingga ini padahal top up hari belum
"padahal sudah top up 2 kali tetap tidak terisi, malahan yg ke isi cuma top up yg kedua top up pertama tidak",3,2025-04-28 11:45:16,padahal top up kali tetap isi malah yg isi cuma top up yg dua top up pertama
tambah ruwet bayare.,1,2025-04-28 10:49:30,tambah ruwet bayare
BAGUS TAPI KAPAN YA ADA PENAMBAHAN NAMA CREW KETIKA MENEKAN IKON BUS LALU MUNCUL NAMA CREW,5,2025-04-28 09:42:00,bagus kapan ada tambah nama crew tekan ikon bus lalu muncul nama crew
aplikasinya masih sering lag dan eror,2,2025-04-28 08:15:55,aplikasi sering lag eror
"perbaiki lagi sistemnya, buka aplikasi saja lambat, tidak langsung muncul, sering error",1,2025-04-25 17:06:43,baik sistem buka aplikasi lambat langsung muncul sering error
"ini mau daftar gimana dipencet pun gk bisa, tolol banget sih",1,2025-04-24 07:58:27,mau daftar gimana pencet gk tolol banget sih
"TOLONG YA untuk diberitahukan kpd SOPIR-SOPIR BUS SUROBOYO KALIAN ITU HARUS LEBIH HATI-HATI. Saya salah satu penumpang BUS SUROBOYO SB06 tgl 21/4/25. Naik dari Bungurasih ke SMPN 5 Surabaya, Saya jatuh dari bus suroboyo tepat di depan halte SMPN 5 saat hendak turun tapi si sopir malah lanjut menjalankan Busnya!!! NAMA BPK KERNET BPK BENY BUDIANA. Dan pinternya lagi, SI SOPIR GA TURUN DAN GA MINTA MAAF. DAN UDAH LAPOR KE IG SUROBOYO BUS TAPI TIDAK ADA RESPON. KALIAN GA ADA RASA TGGUNG JAWAB!!",1,2025-04-23 14:48:21,ya diberitahukan kpd sopirsopir bus suroboyo kalian harus lebih hatihati salah satu tumpang bus suroboyo sb tgl naik bungurasih smpn surabaya jatuh bus suroboyo tepat depan halte smpn hendak turun si sopir malah lanjut jalan bus nama bpk kernet bpk beny budiana pinternya si sopir ga turun ga minta maaf udah lapor ig suroboyo bus tidak respon kalian ga rasa tggung jawab
tolong di edukasi supir Wira wiri untuk update jumlah penumpang.. saya sering tertipu aplikasi dibilang kosong waktu mobil datang ternyata penuh.. dan juga beberapa supir kurang nyaman bawa kendaraannya,1,2025-04-21 17:10:25,di edukasi supir wira wiri update jumlah tumpang sering tipu aplikasi bilang kosong waktu mobil datang nyata penuh juga beberapa supir kurang nyaman bawa kendara
bagus semua.,5,2025-04-20 22:16:53,bagus semua
"gara,, aplikasi eror waktu saya setengah jam sia sia nuguin wira wiri pas dia lewat ee ternyata aplikasi eror",1,2025-04-19 07:35:06,gara aplikasi eror waktu tengah jam sia sia nuguin wira wiri pas lewat ee nyata aplikasi eror
sering error,2,2025-04-17 18:44:33,sering error
Untuk wira wiri tak kasih Bintang 1 krn mapsnya yg di kendaraan (wirawiri) entah helpernya atau drivernya gak di update kalo sdh penuh terkadang masih belum penuh gak berhenti di halte yg kita tunggu bolak balik telat terus gara2 feeder...kalo gini terus mendingan hapus aja transportasi wira wiri sama yg lainnya percuma ada di surabaya bukannya menolong malah mempersulit,1,2025-04-17 14:41:40,wira wiri tak kasih bintang krn mapsnya yg kendara wirawiri entah helpernya drivernya gak update kalo sdh penuh terkadang belum penuh gak henti halte yg tunggu bolak balik telat terus gara feederkalo gin terus mending hapus aja transportasi wira wiri sama yg lain percuma di surabaya bukan tolong malah sulit
"saya top up lewat mbanking, di mbanking sudah terpotong tapi saldo di gobis belum terisi 1x24 jam",1,2025-04-16 19:02:11,top up lewat mbanking mbanking potong saldo gob isi x jam
kenapa pembayaran qris dihilangkan? SANGAT MENYUSAHKAN. SUDAH SAMPAI DI HALTE HARUS PERGI DULU KE INDOMARET BUAT TOP UP. TOP UP LANGSUNG PAKAI TRANSFER MOBILE BANKING PUN GAK BISA. SANGAT MENYUSAHKAN....,1,2025-04-15 16:55:19,bayar qris hilang sangat susah sampai halte pergi dulu indomaret buat top up top up langsung pakai transfer mobile banking gak sangat susah
aplikasi gk jelas..daftar udah d.isi kok login gk bisa..biasa produk karya anak bangsa lemot,1,2025-04-15 16:19:44,aplikasi gk jelasdaftar udah disi kok login gk bisabiasa produk karya anak bangsa lot
"Orang cuma mau liat posisi bus malah diwajibin login. Sudah diperbaiki. bintang 1 lagi, TOPUP GAGAL GA ADA FITUR REPORT, AYOLAH FITUR SESIMPEL ITU KOK GA ADA",1,2025-04-15 07:58:26,orang cuma mau liat posisi bus malah diwajibin login baik bintang topup gagal ga fitur report ayo fitur simpel kok ga
"saya tidak tau sudah berhasil daftar apa belum karena proses yang lama, hari ini saya cek ternyata NIK saya sudah terdaftar... tapi saya bingung ini password yg saya masukkan salah semua. apakah bisa dibantu untuk pemulihan akun? karena email saya juga saya lihat tidak terdaftar",1,2025-04-13 22:10:35,tau hasil daftar apa proses lama hari cek nyata nik sudah daftar bingung password yg masuk salah semua bisa bantu pulih akun karena email saya juga saya lihat tidak daftar
lumayan,5,2025-04-12 20:41:30,lumayan
keren,5,2025-04-12 20:22:45,keren
aplikasi gabisa dibuka sama sekali loading putih gitu doang,1,2025-04-12 19:30:40,aplikasi gabisa buka sama sekali loading putih gitu doang
"haha aplikasi belum selesai, coba beli 1 tiket, pas beli aman serlah dicek riwayat pembelian aja ngga ada apalagi tiket , rugi 5.000 haha",1,2025-04-12 19:13:03,haha aplikasi selesai coba beli tiket pas beli aman serlah cek riwayat beli aja ngga apalagi tiket rugi haha
terus berkembang Lur,5,2025-04-12 08:35:24,terus kembang lur
"Mantap aplikasinya, mantap pelayanannya...",5,2025-04-11 19:59:09,mantap aplikasi mantap layan
aplikasi gak bisa di buka tolonglah dishub kami ingin naik bus suroboyo jangan bikin susah masyarakat surabaya,1,2025-04-10 12:46:02,aplikasi gak di buka tolong dishub ingin naik bus suroboyo jangan bikin susah masyarakat surabaya
ga bisa dibuka di Redmi Note 4,1,2025-04-10 08:59:13,ga buka redmi note
"ww25 8/4/2025 sekitar pukul 20.20 armada tidak awas akan penumpang yg ada dihalte , sudah saya lambai sampai kejar tetap tidak berhenti padahal kondektur sempat melihat kearah saya ,, terlihat juga armada belum penuh posisi saya menunggu di halte darmo permai timur",1,2025-04-08 20:34:45,ww pukul armada awas tumpang yg halte lambai kejar tetap henti padahal kondektur sempat lihat arah lihat armada penuh posisi saya tunggu halte darmo permai timur
