Nama_User,Rating,Tanggal,Ulasan,Ulasan_Bersih
ONNY FEBRIAN A,1,2025-09-24 09:53:05,Aplikasi sering gangguan,aplikasi sering gangguan
Musthafa Amrullah,1,2025-09-22 22:16:09,Bgstt malah gabisa top up,bgstt malah gabisa top up
Fadhlurrohman Zaki,1,2025-09-20 22:39:01,"aplikasi sampah ketika koneksi terputus, maka akun otomatis terputus.",aplikasi sampah ketika koneksi terputus maka akun otomatis terputus
Nofi Hijayanto,2,2025-09-20 17:19:27,kondektur ww005 benowo tunjungan mohon diganti kurang ramah sopirnya ugal2an bikin ga nyaman ini program pemerintah Surabaya jangan dirusak oknum,kondektur ww benowo tunjungan mohon diganti kurang ramah sopirnya ugal an bikin ga nyaman ini program pemerintah surabaya jangan dirusak oknum
Dwi Listianto,1,2025-09-19 15:04:01,"Barusan saya mau naik, di halte balungbendo depan masjid jurusan Mojokerto bus nya kok gak mau berhenti ya hari ini 19 sep 2025 pukul 14.50 tolong ditindak lanjuti drivernya.....halte Depan halte bypass barat 1, arah Mojokerto",barusan saya mau naik di halte balungbendo depan masjid jurusan mojokerto bus nya kok gak mau berhenti ya hari ini sep pukul tolong ditindak lanjuti drivernya halte depan halte bypass barat arah mojokerto
dea anjeli,1,2025-09-18 23:04:25,"sudah 2× topup saldo, saldo juga udah kepotong tapi gak masuk di aplikasi. apaan coba? mending balikin aja bayar pake qris. aplikasi buruk. bukannya mempermudah malah makin menyusahkan.",sudah topup saldo saldo juga udah kepotong tapi gak masuk di aplikasi apaan coba mending balikin aja bayar pake qris aplikasi buruk bukannya mempermudah malah makin menyusahkan
Chakra Onfire,1,2025-09-18 17:27:30,aneh udah login tapi keluar terus,aneh udah login tapi keluar terus
Wedus Wak,1,2025-09-18 10:51:41,"uang saya hilqng, tidak masuk gobis. hilang seharga 1 indomie",uang saya hilqng tidak masuk gobis hilang seharga indomie
Yuliayu Wulandari,1,2025-09-17 12:57:15,isi pulsa 2x nggak masuk ini gimana jadi rugi jadinya,isi pulsa x nggak masuk ini gimana jadi rugi jadinya
Rusydah Zakiyyah,1,2025-09-17 10:22:32,YOPO REK AKU SUDAH TOPUP 10RB TAPI KOK SALDONYA GK MASUK DI GOBISNYA????? PADAHAL DARI BANK KU UDAH KEPOTONG SALDONYA???? GIMANA INI,yopo rek aku sudah topup rb tapi kok saldonya gk masuk di gobisnya padahal dari bank ku udah kepotong saldonya gimana ini
Ali ahmadi,5,2025-09-16 20:40:59,baik,baik
Axel Zefanya,1,2025-09-16 17:39:29,"aplikasi buruk, kembalikan uang saya!!! sudah 3x top up, sado sudah terpotong tapi belum masuk di aplikasi ini, apa ada yang bermain-main di balik aplikasi ini? padahal ini aplikasi untuk rakyat, kenapa malah jadi ladang untuk kalian!!!",aplikasi buruk kembalikan uang saya sudah x top up sado sudah terpotong tapi belum masuk di aplikasi ini apa ada yang bermain main di balik aplikasi ini padahal ini aplikasi untuk rakyat kenapa malah jadi ladang untuk kalian
Mousi Anoulie,1,2025-09-16 09:29:54,"Tolong ya buat helper nya kalau ada yang nanya itu dijawab yang bener kalo gatau tinggal bilang gatau, ngomong yang sopan ramah tohh yang nanya juga kebingungan, ini selalu aja jutek orang nanya di omelin bahkan di permalukan. Bertanya itu karena gatau kalo udah tau ngapain juga nanya sumpahh pelayanan nya burukkk bangett ga sopan.",tolong ya buat helper nya kalau ada yang nanya itu dijawab yang bener kalo gatau tinggal bilang gatau ngomong yang sopan ramah tohh yang nanya juga kebingungan ini selalu aja jutek orang nanya di omelin bahkan di permalukan bertanya itu karena gatau kalo udah tau ngapain juga nanya sumpahh pelayanan nya burukkk bangett ga sopan
putri ayu,3,2025-09-12 14:43:46,"lebih oke ditmbah fitur ""cari tujuan"" untuk memudahkan pengguna melihat opsi bis dan halte nya. karna di apps hanya ada rute untuk bisnya, jadi kalau untuk pengguna luar surabaya gak paham..",lebih oke ditmbah fitur cari tujuan untuk memudahkan pengguna melihat opsi bis dan halte nya karna di apps hanya ada rute untuk bisnya jadi kalau untuk pengguna luar surabaya gak paham
C R,1,2025-09-10 06:38:52,"Saldo terpotong tapi di aplikasi tidak masuk. Ada proyek bagi bagi ini. Saldo sengaja sebagian gk masuk karena ada pemain. Saldo kalian yang ga masuk itu jadi keuntungan pemainnya. Saya developer apps, jadi paham betul bagaimana trik cari keuntungan celah yang bisa diakalin, bagaimana manipulasi database, payment gateway, API, dll. Saya punya banyak waktu untuk audit habis-habisan App ini. Gimana Pemkot? Dishubmu ini sudah berapa kali ngetrik. Bahkan timbangan aja diakalin. Om saya kerja di sana",saldo terpotong tapi di aplikasi tidak masuk ada proyek bagi bagi ini saldo sengaja sebagian gk masuk karena ada pemain saldo kalian yang ga masuk itu jadi keuntungan pemainnya saya developer apps jadi paham betul bagaimana trik cari keuntungan celah yang bisa diakalin bagaimana manipulasi database payment gateway api dll saya punya banyak waktu untuk audit habis habisan app ini gimana pemkot dishubmu ini sudah berapa kali ngetrik bahkan timbangan aja diakalin om saya kerja di sana
RUDI ALLTV,3,2025-09-09 15:27:15,"kejadian aneh waktu aq nyoba pertama kali malah aneh,, setelah aq daftar gobis trus aq pantau di map mobil wara wiri, stelah aq tunggu ko gk ada yg lewat pdhal di map sudah lewat, lah tiba tiba saya cek map lagi sudah jauh mobilnya,, itu kenapa ya,,",kejadian aneh waktu aq nyoba pertama kali malah aneh setelah aq daftar gobis trus aq pantau di map mobil wara wiri stelah aq tunggu ko gk ada yg lewat pdhal di map sudah lewat lah tiba tiba saya cek map lagi sudah jauh mobilnya itu kenapa ya
kata kopi,1,2025-09-08 14:59:20,"tidak ada menu reset password bila user lupa password, cmn ada menu ganti password saja, pdhl ada saldo sehingga tdk bisa digunakan user utk bayar tiket",tidak ada menu reset password bila user lupa password cmn ada menu ganti password saja pdhl ada saldo sehingga tdk bisa digunakan user utk bayar tiket
accarmy cora,2,2025-09-06 15:51:33,masih bagus aplikasi transjatim... penitikan map dsn halte lebih akurat,masih bagus aplikasi transjatim penitikan map dsn halte lebih akurat
Anda Ruuu,1,2025-09-05 07:13:25,ini gw kalo lupa password solusinya apa?,ini gw kalo lupa password solusinya apa
Eddy Juniman,4,2025-09-04 18:34:15,"sangat membantu,semoga kedepannya lebih maju",sangat membantu semoga kedepannya lebih maju
Sherly San,1,2025-09-03 07:21:28,"isi saldo dari mbangking , saldo.TIDAK MASUK",isi saldo dari mbangking saldo tidak masuk
DAVID WIJAYA,1,2025-09-02 12:50:52,Pada waktu daftar memasukan email yg salah. Kemudian untuk login lupa password... klik lupa password dikirim ke email yg salah... sudah terlanjur isi pulsa dan beli paket... solusinya bagaimana?,pada waktu daftar memasukan email yg salah kemudian untuk login lupa password klik lupa password dikirim ke email yg salah sudah terlanjur isi pulsa dan beli paket solusinya bagaimana
Ari Bonek,5,2025-09-02 12:28:36,ok,ok
Budi Santoso,5,2025-09-01 16:00:15,sy suka dgn aplikasi ini buat mudah sy klau mau brangkat kerrja,sy suka dgn aplikasi ini buat mudah sy klau mau brangkat kerrja
Nathan Rvn (Nathan),1,2025-09-01 09:40:19,ini gimana si udah top up tapi di apk nya saldo masih 0,ini gimana si udah top up tapi di apk nya saldo masih
Fajar Santoso,5,2025-08-31 19:46:51,"bagus, sangat membantu",bagus sangat membantu
Diky Alfian,5,2025-08-30 13:51:45,sangat bagus.. andai bisa sampai driyorejo pasti oke,sangat bagus andai bisa sampai driyorejo pasti oke
Dopi 1927,2,2025-08-30 08:41:04,"sopir nya ada yang jahat, tapi lumayan bagus buat transportasi umum",sopir nya ada yang jahat tapi lumayan bagus buat transportasi umum
Nizam Fatih Al Banna,1,2025-08-28 12:30:24,"Kalau berangkat dari terminal Bratang itu yang cepatt, saya nunggu di halte setengah jam tetap ngk jalan2. Padahal saya sdh lihat berkali kali di map. Harap di tangani🙏",kalau berangkat dari terminal bratang itu yang cepatt saya nunggu di halte setengah jam tetap ngk jalan padahal saya sdh lihat berkali kali di map harap di tangani
Gadit Neny,5,2025-08-26 12:03:49,aplikasi mantap,aplikasi mantap
MoTeX Zliriritz,1,2025-08-26 06:40:16,"Setelah di update malah sering error & nge-bug, overall ini aplikasi bobrok ga jelas",setelah di update malah sering error nge bug overall ini aplikasi bobrok ga jelas
Revo Lusiani,1,2025-08-25 00:15:23,sering error sinyal nya KL beli promo....tp KL beli hrg biasa lsng lancar,sering error sinyal nya kl beli promo tp kl beli hrg biasa lsng lancar
Nurhayati,3,2025-08-24 18:36:24,"semoga nanti ada jadwal kedatangan bisnya, sama tanda jalan bis di aplikasinya benar² akurat, karena sekarang masih seperti ngelag², jadi takut ketinggalan bisnya, karena tanda bisnya kurang akurat, dan juga semoga bisnya diperbanyak, dan jam operasionalnya bertambah hingga jam 22.00",semoga nanti ada jadwal kedatangan bisnya sama tanda jalan bis di aplikasinya benar akurat karena sekarang masih seperti ngelag jadi takut ketinggalan bisnya karena tanda bisnya kurang akurat dan juga semoga bisnya diperbanyak dan jam operasionalnya bertambah hingga jam
Reyhan Farisi,1,2025-08-24 12:05:32,"Tolong tambahkan fitur ""lupa password"". saldo saya tidak bisa dipakai karena saya lupa password akun saya",tolong tambahkan fitur lupa password saldo saya tidak bisa dipakai karena saya lupa password akun saya
Opo Anane,3,2025-08-22 21:59:11,reset password ora diproses,reset password ora diproses
nania binta,5,2025-08-22 19:57:56,Sangat membantu masyarakat,sangat membantu masyarakat
hermin andien,3,2025-08-21 21:49:09,"update mulu ahh, udh gtu kualitasnya sm aja, ga makin bagus",update mulu ahh udh gtu kualitasnya sm aja ga makin bagus
Naradila Tahao,1,2025-08-21 18:46:07,gk bisa top up back🤌,gk bisa top up back
Priyo utomo,5,2025-08-21 18:03:43,bagus,bagus
HKI4D 33 Vanessa Amalia,1,2025-08-21 16:29:24,"Aplikasi kurang akurat, kadang lemot, kadang gps nya ga jalan, keseringan minta perbarui. ngeselin, kurang worth it 😡",aplikasi kurang akurat kadang lemot kadang gps nya ga jalan keseringan minta perbarui ngeselin kurang worth it
Akbar Athallah Alfaridzy,5,2025-08-21 05:01:38,Good,good
frinda nisa,1,2025-08-18 13:57:24,"TOLONG LAH, SERING GAK SESUAI, JADINYA SAYA SERING KETINGGALAN BUS!! MANA SOPIRNYA BELAGU GAK MAU BERHENTI, BUKA PINTU LANGSUNG AJA TEROBOS, PADAHAL LAGI CEK BUSNYA LEWAT HP",tolong lah sering gak sesuai jadinya saya sering ketinggalan bus mana sopirnya belagu gak mau berhenti buka pintu langsung aja terobos padahal lagi cek busnya lewat hp
Ja'far Sidik,4,2025-08-18 08:01:22,"saran untuk rute madura bisa di perluas sampai timur, dan yang bangkalan sampai pelabuhan kamal",saran untuk rute madura bisa di perluas sampai timur dan yang bangkalan sampai pelabuhan kamal
Nuryanti,5,2025-08-17 14:28:34,sudah daftar oake 3 email lgsg tp gak muncul otp nya terus .mohon solusinya dong,sudah daftar oake email lgsg tp gak muncul otp nya terus mohon solusinya dong
Mulyono,1,2025-08-17 05:42:45,"kenapa di aplikasi monitor lokasi kendaraan tidak ada kode terintegrasi dgn rute lain seperti aplikasi mitra darat, sehingga tdk membingungkan penumpang kapan harus turun di halte terintegrasi utk pindah rute, jangan sampai penumpang dibingungkan dengan aplikasi kadang buka mitra darat tetapi juga harus buka gobis, dimana dana atau saldo yg sudah deposit tidak bisa ditarik kembali, penumpang skrg sdh mulai masukkan ke dompet gobis, tolong jangan nyusahin rakyat, ini sdh ketergantungan dgn gobis",kenapa di aplikasi monitor lokasi kendaraan tidak ada kode terintegrasi dgn rute lain seperti aplikasi mitra darat sehingga tdk membingungkan penumpang kapan harus turun di halte terintegrasi utk pindah rute jangan sampai penumpang dibingungkan dengan aplikasi kadang buka mitra darat tetapi juga harus buka gobis dimana dana atau saldo yg sudah deposit tidak bisa ditarik kembali penumpang skrg sdh mulai masukkan ke dompet gobis tolong jangan nyusahin rakyat ini sdh ketergantungan dgn gobis
Sahrul Nugraha,1,2025-08-13 09:57:14,apk tidak bisa diunduh dan di pakai,apk tidak bisa diunduh dan di pakai
Maria Monika,5,2025-08-11 08:38:58,mobilnya bersih,mobilnya bersih
Zanni Marjana,1,2025-08-09 17:13:06,Aplikasi ini minta update terus.,aplikasi ini minta update terus
Doni “Nangkan”,5,2025-08-09 16:58:29,top,top
trending naf,1,2025-08-07 17:45:49,"untuk ww arah Lakarsantri tolong ditambah kan unit lagi, agar di tij tidak kosong terus",untuk ww arah lakarsantri tolong ditambah kan unit lagi agar di tij tidak kosong terus
Achmad Irvan,1,2025-08-07 10:05:06,Lokasi posisi orang di GPS nya tidak akurat. dan tulisanya tidak terlalu besat serta. Lebih baik pakai aplikasi Mitra Darat tp sudah tidak menangani,lokasi posisi orang di gps nya tidak akurat dan tulisanya tidak terlalu besat serta lebih baik pakai aplikasi mitra darat tp sudah tidak menangani
annisa ansani,1,2025-08-02 18:59:18,KODE OTP GAMAU MASUK TUH KENAPAAAA 😭😭😭😭😭 AKU UDAH NUNGGUIN LAMA BANGET TAPI GAADA HASIL MAKSUTNYA APA SIH BIKIN APLIKASI GAJELAS GINI ??????,kode otp gamau masuk tuh kenapaaaa aku udah nungguin lama banget tapi gaada hasil maksutnya apa sih bikin aplikasi gajelas gini
Fahmi Nasrudin,1,2025-08-02 18:01:07,pas top up saldonya ga keisi tapi uang kesedot anjay bet,pas top up saldonya ga keisi tapi uang kesedot anjay bet
Aisyah Marlidah,2,2025-08-01 23:23:54,"sebelum di surabaya bisa login, giliran udah di surabaya mendadak gabisa login mana udah di atas bus",sebelum di surabaya bisa login giliran udah di surabaya mendadak gabisa login mana udah di atas bus
Frida Lusiana,1,2025-08-01 13:27:42,App habis diperbarui makin buruk! Saldo tiba2 ilang. di top up lagi trs cek di notif udah masuk. pas cek di saldo masih 0. tolonglah dimaksimalkan. jujur merasa dirugikan bgt,app habis diperbarui makin buruk saldo tiba ilang di top up lagi trs cek di notif udah masuk pas cek di saldo masih tolonglah dimaksimalkan jujur merasa dirugikan bgt
jovan Jr,1,2025-08-01 07:46:46,sudah top up saldo tapi saldo masih 0.aplikasi sampah,sudah top up saldo tapi saldo masih aplikasi sampah
Bagus DCN,1,2025-07-31 20:13:06,"Bukan perihal aplikasi, namun jarak bus terlalu jauh dan tidak sama rata. Waktu tunggu jadi lebih lama",bukan perihal aplikasi namun jarak bus terlalu jauh dan tidak sama rata waktu tunggu jadi lebih lama
Sunan Fanani,5,2025-07-31 14:30:34,mantab,mantab
Benny Boediman,5,2025-07-31 07:20:08,"angkutan rakyat yg btl2 sangat2 nyaman berkualitas dr segi keamanan, kenyamanan, keramahan petugas jg kebersihan, trs tingkat kan semua ini u mencapai predikat angkutan terbaik di seluruh NKRI. BRAVO WIRA WIRI SUROBOYO",angkutan rakyat yg btl sangat nyaman berkualitas dr segi keamanan kenyamanan keramahan petugas jg kebersihan trs tingkat kan semua ini u mencapai predikat angkutan terbaik di seluruh nkri bravo wira wiri suroboyo
Natanaiel Yuwono,5,2025-07-31 05:25:30,good,good
Tia Rafani,1,2025-07-30 11:28:06,armada feedernya diperbanyak lagi...,armada feedernya diperbanyak lagi
Adinda Naurah,1,2025-07-29 14:09:14,Aplikasinya kurang bagus dan minim informasi. Tolong UI-nya dibuat kayak aplikasi Gojek pasti menarik,aplikasinya kurang bagus dan minim informasi tolong ui nya dibuat kayak aplikasi gojek pasti menarik
Ilah Kusdilah,5,2025-07-29 13:07:45,baik memuaskan,baik memuaskan
tesalonika keishaa,1,2025-07-29 04:56:25,"gabisa daftar akun bejirlah, padahal internet udah kenceng tp tulisan yang muncul ""koneksi terputus"" terusss hm",gabisa daftar akun bejirlah padahal internet udah kenceng tp tulisan yang muncul koneksi terputus terusss hm
Fasrin Yulianto,1,2025-07-27 21:45:05,"Karena haus, saya pun minum air mineral botol kecil yang saya bawa, betapa kagetnya ditegur sama mbak admin wira-wiri ""pak ndak boleh minum, ada kameranya"", saya pun kaget dan spontan ""oh iya mbak maaf"". Sambil mikir....""Baru kali ini naik angkutan ndak boleh minum air mineral""",karena haus saya pun minum air mineral botol kecil yang saya bawa betapa kagetnya ditegur sama mbak admin wira wiri pak ndak boleh minum ada kameranya saya pun kaget dan spontan oh iya mbak maaf sambil mikir baru kali ini naik angkutan ndak boleh minum air mineral
jio ndeso chanel,5,2025-07-25 16:11:19,agak lama juga masuknya klau kita topup,agak lama juga masuknya klau kita topup
Ratih Nidia,5,2025-07-24 19:41:50,"sukaaaaa, bisa pantau mau kemana, cuman kesulitan kalo mau ke suatu destinasi harus di runtut dlu, dicari sambungannya, mgkn bisa ditambah fitur arah nya misal dari kanwa ke pasar atom naik apa aja naik turun dimana",sukaaaaa bisa pantau mau kemana cuman kesulitan kalo mau ke suatu destinasi harus di runtut dlu dicari sambungannya mgkn bisa ditambah fitur arah nya misal dari kanwa ke pasar atom naik apa aja naik turun dimana
Darmawan,1,2025-07-23 12:36:47,"aplikasi busuk, top up sering delay hingga 10-15 menit mana kondektur busnya juga ga sadar diri kalo aplikasinya bobrok ngomel gegara gabisa bayar. sering log out juga tiba tiba dan ngebug di waktu yang tak terduga.",aplikasi busuk top up sering delay hingga menit mana kondektur busnya juga ga sadar diri kalo aplikasinya bobrok ngomel gegara gabisa bayar sering log out juga tiba tiba dan ngebug di waktu yang tak terduga
Adi Lukito,5,2025-07-23 06:55:59,sarana transportasi murah meriah merakyat tp tdk murahan dengn model dan fasilitas kendaraan nya.....Trimakasih sdh mengantar kami dan keluarga.,sarana transportasi murah meriah merakyat tp tdk murahan dengn model dan fasilitas kendaraan nya trimakasih sdh mengantar kami dan keluarga
"Maximillian Kenas Tarmidi, S.H.",1,2025-07-21 17:53:15,Error often. One day forced to pay as a normal passenger eventhough a student which is twice the price because the money transfer was delayed.,error often one day forced to pay as a normal passenger eventhough a student which is twice the price because the money transfer was delayed
Hani Hariyani,1,2025-07-17 08:19:34,Sering tiba2 eror gak muncul rutenya. Tolong lebih update untuk lokasi haltenya kadang halte disebutkan tapi tidak dikasih petunjuk.,sering tiba eror gak muncul rutenya tolong lebih update untuk lokasi haltenya kadang halte disebutkan tapi tidak dikasih petunjuk
Dini Shafa,5,2025-07-16 14:22:19,"petugasnya ramah2, armadanya bersih dan nyaman",petugasnya ramah armadanya bersih dan nyaman
Twitter Alfin,1,2025-07-16 06:34:00,"aplikasi sampah, dikit dikit minta perbaharui",aplikasi sampah dikit dikit minta perbaharui
Wanda Vitasari,3,2025-07-13 11:45:26,mbaknya yg jaga bus judessssss,mbaknya yg jaga bus judessssss
Adi Atfan,1,2025-07-13 10:21:39,lama lama kok lambat dan lemot semua ya minta tolong DISUB,lama lama kok lambat dan lemot semua ya minta tolong disub
Adryansyah Aji,1,2025-07-11 19:34:32,"Juanc*****k, untuk Wira Wiri dengan kode ""WW 96"" udah di awe² jauh² dari pemberhentian gamau berhenti tolong dipecat sopirnya juancokkkkkk. Saya memberhentikan pukul 7 an malam. padahal operasionalnya sampe jam 9 malam.",juanc k untuk wira wiri dengan kode ww udah di awe jauh dari pemberhentian gamau berhenti tolong dipecat sopirnya juancokkkkkk saya memberhentikan pukul an malam padahal operasionalnya sampe jam malam
Muhammad dhifan Rizky Saputra,1,2025-07-11 16:42:40,bisnya makin hari makin dikit udh nunggu 50 menit gak datang,bisnya makin hari makin dikit udh nunggu menit gak datang
Kasman Kas,5,2025-07-09 14:55:11,👍👍👍,
Kasijan Kasijan,1,2025-07-08 19:58:49,"WW06 hari selasa tgl 7 Juli 2025,diberhentiin di halte wonorejo tetapi tidak berhenti padahal ada plakat gambar Bus dan itu adalah halte pemberhentian",ww hari selasa tgl juli diberhentiin di halte wonorejo tetapi tidak berhenti padahal ada plakat gambar bus dan itu adalah halte pemberhentian
Gufron Gufron,5,2025-07-08 04:53:26,sudah cepat untuk gobis,sudah cepat untuk gobis
Dita Fadillah,2,2025-07-07 19:16:10,lemot banget aplikasiny🤦🏻‍♀️,lemot banget aplikasiny
Ayun Dwi,2,2025-07-07 13:12:37,lemot,lemot
Ismail Husen,1,2025-07-06 01:58:04,"sangat tidak direkomendasikan entah kenapa rasanya gampang pusing naik surabaya bus, kayak karna cara nyetir supirnya yang ngawur, pelayanan supir dan petugasnya gak ramah banget, jawab jutek, malah banyak penumpang yang di marahin, kalo gak bisa ramah gak usah kerja di pelayanan umum👎👎👎👎",sangat tidak direkomendasikan entah kenapa rasanya gampang pusing naik surabaya bus kayak karna cara nyetir supirnya yang ngawur pelayanan supir dan petugasnya gak ramah banget jawab jutek malah banyak penumpang yang di marahin kalo gak bisa ramah gak usah kerja di pelayanan umum
Made Cina,5,2025-07-02 20:12:28,sangat bgs pelayannya,sangat bgs pelayannya
fatoyah opie,5,2025-07-02 14:45:24,Membantu saya dalam bekerja sebagai sebagai informasi transportasi publik,membantu saya dalam bekerja sebagai sebagai informasi transportasi publik
Eko Prasetyo Sony R,5,2025-07-02 14:01:32,tolong ditambahkan jam operasional bus Suroboyo terimakasih,tolong ditambahkan jam operasional bus suroboyo terimakasih
rasyahilmi,2,2025-07-02 11:33:07,susah untuk masuk jadi member padahal ada internet,susah untuk masuk jadi member padahal ada internet
Aulia Stevani,5,2025-07-01 23:10:44,bagus mempermudah perjalanan,bagus mempermudah perjalanan
Vincent Gunawan (Bluray Hero ID),1,2025-07-01 09:39:42,reward poin untuk apa kalau nggak bisa ditukar? tombol untuk tukarnya pun sekarang dihilangkan,reward poin untuk apa kalau nggak bisa ditukar tombol untuk tukarnya pun sekarang dihilangkan
Hariyanto Yanto,5,2025-07-01 08:15:53,q pertama kali naik bis surabaya rasa nya nyaman.,q pertama kali naik bis surabaya rasa nya nyaman
IBNU YUDISTIRA,2,2025-06-30 16:25:22,gak mau berhenti di halte padahal belum penuh yg berdiri baru beberapa,gak mau berhenti di halte padahal belum penuh yg berdiri baru beberapa
Margaret Cellia,3,2025-06-30 09:04:32,"lupa pasword utk bayar pakai gobis, mau diganti pun gak bisa, harus pakai pasword lama. lah gimana mau d ganti kl pasword lama aja lupa. tlg d perbaiki aplikasinya 🙏",lupa pasword utk bayar pakai gobis mau diganti pun gak bisa harus pakai pasword lama lah gimana mau d ganti kl pasword lama aja lupa tlg d perbaiki aplikasinya
Gear7 Pro (AnggurMerah),5,2025-06-28 20:22:26,"sudah Bagus dengan aplikasi dan kemarin sebelumnya juga bisa pembayaran melalui Qris, sekarang harus top up, sebenarnya lebih ribet lagi, walaupun sudah bagus untuk mengembangkan aplikasi, tp tolong pembayaran /Top up juga bisa melalui indo**rt, alp**rt, dll agara lebih mudah, karena tidak semua punya rekening / Qris, dan kembali lagi permasalahan nya tetap di pembayaran. terima kasih. saran saja",sudah bagus dengan aplikasi dan kemarin sebelumnya juga bisa pembayaran melalui qris sekarang harus top up sebenarnya lebih ribet lagi walaupun sudah bagus untuk mengembangkan aplikasi tp tolong pembayaran top up juga bisa melalui indo rt alp rt dll agara lebih mudah karena tidak semua punya rekening qris dan kembali lagi permasalahan nya tetap di pembayaran terima kasih saran saja
Sumardi Sutrisno,5,2025-06-28 18:36:08,lebih nyaman aman dan efisien,lebih nyaman aman dan efisien
Bsdjdnyifnr,3,2025-06-28 11:17:07,"Minta Tolong Banget Di Evaluasi Supir nya🙏🙏 klok mau tutup pintu perhatikan dulu baik baik orang yang mau turun atau naik itu.. jangan terburu-buru, keselamatan lebih penting!! saya sering lihat nenek yang kadang agak kesusahan mau naik atau turun dan nenek nya salah pegangan yang justru itu sangat berbahaya... mohon di perhatikan lagi, jangan tunggu ada korban dulu..",minta tolong banget di evaluasi supir nya klok mau tutup pintu perhatikan dulu baik baik orang yang mau turun atau naik itu jangan terburu buru keselamatan lebih penting saya sering lihat nenek yang kadang agak kesusahan mau naik atau turun dan nenek nya salah pegangan yang justru itu sangat berbahaya mohon di perhatikan lagi jangan tunggu ada korban dulu
Imam Safi'i,2,2025-06-26 23:43:17,"kebanyakan update trs applikasi ini,,gk smpe sebulan update terus",kebanyakan update trs applikasi ini gk smpe sebulan update terus
Sword Lingg,1,2025-06-22 18:32:07,lamban woi saya isi saldo ga masuk masuk,lamban woi saya isi saldo ga masuk masuk
Ndari,1,2025-06-22 16:52:26,Udah Top Up saldo.. eehh malah ga berguna. mau payment lewat apk ini malah gagal terus jadinya Saldonya masih tertahan di apk sini.. respon juga lambat mohon diperbaiki.. kalau misalkan gakbisa payment di bus semanggi usahakan uang bisa dipake buat apa aja jadinya ga nahan disini !!!! kecewa sama apknya malah gak guna sama sekali,udah top up saldo eehh malah ga berguna mau payment lewat apk ini malah gagal terus jadinya saldonya masih tertahan di apk sini respon juga lambat mohon diperbaiki kalau misalkan gakbisa payment di bus semanggi usahakan uang bisa dipake buat apa aja jadinya ga nahan disini kecewa sama apknya malah gak guna sama sekali
ANDREW Kurniawan,1,2025-06-21 18:01:29,aplikasi sering error,aplikasi sering error
Satrio Sugondo,5,2025-06-21 10:41:03,sangat memuaskan,sangat memuaskan
Januar Tri Kurniawan,2,2025-06-21 09:08:26,"lokasi saya saat ini dan lokasi halte di map tidak akurat, selisihnya bisa 1 km",lokasi saya saat ini dan lokasi halte di map tidak akurat selisihnya bisa km
Evan Edgar,1,2025-06-19 12:30:55,"kalo bisa, jangan keseringan update. setidaknya perbaiki lokasi dan arah bus... bahkan apa mksudnya buat keseringan update kalo semisal g ada perubahan, tolong sebisa mungkin admin lebih diperhatikan lagi buat apk ini... mohon dibaca ya min🙏",kalo bisa jangan keseringan update setidaknya perbaiki lokasi dan arah bus bahkan apa mksudnya buat keseringan update kalo semisal g ada perubahan tolong sebisa mungkin admin lebih diperhatikan lagi buat apk ini mohon dibaca ya min
Murdjito ST,4,2025-06-19 11:23:53,baik👍,baik
Jav Corp,3,2025-06-16 11:41:31,"ini rute arah pemberangkatan aja, rute balik kok engga ditampilkan juga halte2 pemberhentiannya?",ini rute arah pemberangkatan aja rute balik kok engga ditampilkan juga halte pemberhentiannya
Agus Anta Muzakki,2,2025-06-14 18:51:22,"dulu pernah daftar, tpi lupa password terus pilih ke fitur ""lupa password"" diminta email, padahal dulu belum di sambungkan email",dulu pernah daftar tpi lupa password terus pilih ke fitur lupa password diminta email padahal dulu belum di sambungkan email
Wag Yo,1,2025-06-10 15:19:19,udah top up tpi saldo blm jg muncul sih. ini aplikasi ga jelas bnget,udah top up tpi saldo blm jg muncul sih ini aplikasi ga jelas bnget
Sri Rahayui,1,2025-06-08 17:34:33,gimana nih katanya username nya terserah mau berapa karakter tapi 10 karakter bisa bikin akun tapi nggak bisa masuk login habis itu data juga nggak bisa di hapus gimana nih caranya tolong developer dijawab saya☺️,gimana nih katanya username nya terserah mau berapa karakter tapi karakter bisa bikin akun tapi nggak bisa masuk login habis itu data juga nggak bisa di hapus gimana nih caranya tolong developer dijawab saya
Ulil Abshor,1,2025-06-07 19:48:56,"SB 23, naik 7 Jun 25 jam 19.04 WIB. Saran aja, bisnya sering-sering dibersihkan. Banyak kecoa kecil-kecil di area tempat duduk ban belakang.",sb naik jun jam wib saran aja bisnya sering sering dibersihkan banyak kecoa kecil kecil di area tempat duduk ban belakang
Mohammad Nurrohman,2,2025-06-03 07:09:45,"aplikasi nya bagus dan sangat berguna untuk pelanggan gobis, namun masih sering sekali terkendala koneksi putus, dan juga sering tidak bisa login.",aplikasi nya bagus dan sangat berguna untuk pelanggan gobis namun masih sering sekali terkendala koneksi putus dan juga sering tidak bisa login
